V1,V2,V3,V4,V5,V6,V7,V8,V9
36,2015-07-02,00:00:02,114.29413,30.671057,258,26,on,1
36,2015-07-02,00:01:02,114.291105,30.669668,240,23,on,1
36,2015-07-02,00:02:02,114.28964,30.671315,0,0,on,1
36,2015-07-02,00:02:05,114.289638,30.671313,0,0,on,0
36,2015-07-02,00:03:02,114.290648,30.669853,154,19,on,0
36,2015-07-02,00:04:02,114.292552,30.670358,62,15,on,0
36,2015-07-02,00:05:02,114.294568,30.671153,66,11,on,0
36,2015-07-02,00:06:51,114.294453,30.66838,124,28,on,1
36,2015-07-02,00:07:02,114.294707,30.667708,162,30,on,1
36,2015-07-02,00:08:02,114.295633,30.663917,134,41,on,1
36,2015-07-02,00:09:02,114.29418,30.659128,232,63,on,1
36,2015-07-02,00:10:02,114.290225,30.656527,0,0,on,1
36,2015-07-02,00:11:02,114.288993,30.654537,200,17,on,1
36,2015-07-02,00:12:02,114.285323,30.646475,210,79,on,1
36,2015-07-02,00:13:02,114.280238,30.63598,176,70,on,1
36,2015-07-02,00:14:02,114.283432,30.626982,86,47,on,1
36,2015-07-02,00:15:02,114.293235,30.629762,72,45,on,1
36,2015-07-02,00:16:02,114.300157,30.631437,80,31,on,1
36,2015-07-02,00:17:02,114.304798,30.630638,108,46,on,1
36,2015-07-02,00:18:02,114.307545,30.629882,108,34,on,1
36,2015-07-02,00:19:02,114.313423,30.628133,0,0,on,1
36,2015-07-02,00:19:19,114.313445,30.628132,0,0,on,0
36,2015-07-02,00:21:02,114.308645,30.629653,284,46,on,0
36,2015-07-02,00:21:59,114.303732,30.631057,288,35,on,1
36,2015-07-02,00:22:02,114.30343,30.631143,286,38,on,1
36,2015-07-02,00:23:02,114.302597,30.631315,0,0,on,1
36,2015-07-02,00:25:02,114.291777,30.629648,256,49,on,1
36,2015-07-02,00:26:02,114.283658,30.62771,272,19,on,1
36,2015-07-02,00:27:02,114.28097,30.62669,0,0,on,1
36,2015-07-02,00:28:02,114.280378,30.622398,180,34,on,1
36,2015-07-02,00:29:02,114.280488,30.61821,180,35,on,1
36,2015-07-02,00:29:29,114.280508,30.617782,0,0,on,0
36,2015-07-02,00:30:02,114.280537,30.617113,176,17,on,0
36,2015-07-02,00:31:02,114.280757,30.613993,184,34,on,0
36,2015-07-02,00:32:02,114.280855,30.610175,0,0,on,0
